d,thk,m,rho,o_taper,i_taper,oval,e,mc,mom,stiff,moe,BS,UF,EC
103,9.06,2.04,762.83,1.37,0.15,0.01,0.33,10.17,38.42,41.79,14043.33,66.49,7514.51,-0.334921054
88.91,12.96,1.71,551.44,0.5,3.18,0.01,0.22,10.27,30.71,35.31,15387.89,59.5,6932.53,0.750440401
107.48,10.11,2.17,701.75,0.37,1.79,0.01,0.2,9.95,45.04,57.65,15564.68,65.35,8498.03,-0.059145475
99.89,7.98,1.85,804.35,0.29,0.6,0.03,0.26,9.67,32.75,50.04,20405.9,66.71,6583.63,-0.453950793
92.54,10.96,1.86,660.78,0.82,3.51,0.02,0.31,10.14,32.97,38.6,16228.26,64.13,7201.7,0.146510205
91.44,8.77,1.47,645.39,2.69,0.41,0.04,0.48,10.07,27.07,23.14,11755.72,62.87,5920,0.17944907
95.69,11.64,1.98,644.38,1.62,6.99,0,0.36,9.81,39.37,37.46,13547.44,68.13,8230,0.247477278
105.36,9.98,1.95,652.43,2.13,1.84,0.02,0.42,10.07,39.3,37.51,10913.18,60.24,7460,0.198921665
95.47,12.25,2.23,696.97,0.82,6.64,0.03,0.31,9.21,48.11,41.75,14741.93,81.09,10080,-0.034628075
85.32,11.48,1.75,658.41,0.11,4.71,0.02,0.19,10.09,29.44,26.5,14258.88,67.56,6900,0.149285315
107.61,8.3,2.22,857.12,2.74,1.84,0.03,0.45,9.4,39.12,51.53,16023.84,65.45,7270,-0.748649118
108.32,9.15,1.86,651.8,0.22,1.36,0.01,0.21,10.39,36.78,50.22,14208.06,56.35,6790,0.193047302
87.16,11.12,1.81,683.19,1.1,4.53,0.03,0.36,9.94,32.12,24.96,12727.65,71.38,7370,0.034750776
88.69,7.93,1.17,583.42,3.07,3.3,0.01,0.53,9.9,15.03,18.61,11231.85,40.24,3390,0.373897606
90.23,6.99,1.06,577.63,3.96,3.46,0.02,0.56,10.46,15.11,19.12,12001.1,42.79,3350,0.360599025
98.94,7.88,1.35,598.65,4.87,3.2,0.02,0.59,10.04,19.99,19.9,8448.79,41.99,4040,0.3607787
76.77,10.8,1.51,676.65,0.19,4.46,0.02,0.2,9.41,21.57,21.73,17382.63,66.23,5620,0.054625804
92.73,11.1,1.63,573.35,1.01,2.66,0.01,0.32,10.2,25.92,25.24,10454.46,49.77,5590,0.579784068
74.87,6.91,1.36,920.35,3.14,2.12,0,0.53,10.07,25.27,17.39,20218.52,109.97,6750,-0.589444225
74.83,6.05,1.02,779.66,4.96,4.01,0.02,0.63,9.8,15.94,11.93,15312.98,76.54,4260,-0.202096909
79.66,8.62,1.37,711.45,0.96,3.76,0.02,0.32,10.3,23.22,22.77,18494.99,75.13,5830,-0.069281561
100.49,8.94,1.61,627.57,2.25,0.88,0,0.39,10.21,31.65,35.91,13207.54,58.49,6300,0.281541706
81.25,6.25,1.25,847.29,4.99,4.13,0.04,0.61,9.58,20.35,19.41,18616.05,79.31,5010,-0.401233158
89.86,8.11,1.67,801.35,1.47,0.51,0.01,0.37,9.87,32.21,31.14,17732.35,82.41,7170,-0.400455399
80.56,6.91,1.41,882.6,4.12,3.71,0.02,0.58,9.47,26.75,19.29,17652.75,98.56,6640,-0.532482778
93.93,7.42,1.3,646.79,4.58,3.71,0.03,0.56,9.78,22.82,21.28,11202.49,56.43,4860,0.153464464
89.46,7.09,1.16,632.84,4.18,3.2,0.02,0.55,10.41,18.56,18.47,11788.62,52.99,4150,0.184378782
98.5,10.6,2.06,702.37,0.88,2.73,0.02,0.29,10.35,44.08,38.23,13323.34,75.67,8950,-0.059256826
103.43,8.4,1.49,595.26,3.44,1.51,0.05,0.51,10.27,25.08,28.11,9854.25,45.46,4850,0.415202129
85.46,7.86,1.8,937.48,2.59,1.97,0.04,0.5,10.15,27.22,21.8,14964.14,79.85,6370,-0.823030847
85.09,7.63,1.51,815.73,4.28,2.41,0.03,0.58,9.91,22.21,21.23,15097.23,67.21,5220,-0.401949435
98.93,8.37,1.77,745.05,0.01,0.58,0.01,0.11,10.18,30.03,38.73,15727.71,60.31,6070,-0.224146618
